true/pred,Acne,Actinic_Keratosis,Benign_tumors,Bullous,Candidiasis,DrugEruption,Eczema,Infestations_Bites,Lichen,Lupus,Moles,Psoriasis,Rosacea,Seborrh_Keratoses,SkinCancer,Sun_Sunlight_Damage,Tinea,Unknown_Normal,Vascular_Tumors,Vasculitis,Vitiligo,Warts
Acne,45,2,4,1,0,0,1,0,0,2,0,2,0,0,0,0,6,0,0,0,0,2
Actinic_Keratosis,6,41,3,4,0,0,3,1,0,0,0,0,2,2,9,2,3,0,3,0,0,4
Benign_tumors,0,2,69,2,0,2,1,1,1,1,7,3,0,2,8,1,9,0,3,3,0,6
Bullous,1,0,5,22,0,2,1,2,3,0,0,4,0,0,1,1,4,0,1,5,0,3
Candidiasis,0,1,1,0,12,0,2,0,2,1,0,1,0,0,0,0,5,0,0,0,0,2
DrugEruption,2,4,4,5,0,25,2,2,3,1,0,0,0,1,1,1,4,1,0,3,2,0
Eczema,1,0,10,0,0,0,74,1,1,0,0,9,0,1,0,0,7,0,0,4,0,4
Infestations_Bites,0,2,9,0,0,0,7,18,1,1,1,2,0,1,1,0,7,0,3,5,0,2
Lichen,0,2,5,2,1,0,7,2,24,1,1,2,0,1,2,0,6,0,0,3,0,2
Lupus,1,2,4,0,0,1,1,0,3,6,1,4,3,0,2,0,4,1,0,1,0,0
Moles,0,0,9,0,0,0,1,1,1,0,14,2,0,3,4,0,1,0,1,0,0,3
Psoriasis,2,2,5,1,2,0,9,2,1,1,0,51,0,1,0,0,4,0,1,3,0,3
Rosacea,1,1,0,0,0,0,2,0,0,2,0,0,18,0,0,3,1,0,0,0,0,0
Seborrh_Keratoses,0,1,3,0,0,0,5,0,0,0,2,0,0,33,3,0,0,0,1,0,0,3
SkinCancer,0,1,16,0,0,0,3,0,1,0,1,2,1,5,38,2,1,0,5,0,0,1
Sun_Sunlight_Damage,0,2,3,0,0,0,4,3,1,0,3,1,1,0,1,12,1,0,0,0,0,2
Tinea,1,0,5,0,3,0,11,2,2,1,2,3,2,0,3,1,60,0,1,3,0,2
Unknown_Normal,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,181,0,0,4,0
Vascular_Tumors,0,1,10,0,0,0,4,1,0,0,1,4,1,0,2,1,6,0,28,0,0,1
Vasculitis,0,0,1,1,0,0,7,0,0,0,0,1,0,0,1,1,6,0,6,28,0,0
Vitiligo,1,1,0,1,1,1,2,0,1,1,0,1,0,0,2,1,0,1,0,2,65,1
Warts,0,1,7,0,1,0,0,0,0,0,0,4,1,0,0,0,4,0,2,1,0,43
